"dept_no","emp_no","last_name","first_name","dept_name"
"d005",10001,"Facello","Georgi","Development"
"d007",10002,"Simmel","Bezalel","Sales"
"d004",10003,"Bamford","Parto","Production"
"d004",10004,"Koblick","Chirstian","Production"
"d003",10005,"Maliniak","Kyoichi","Human Resources"
"d005",10006,"Preusig","Anneke","Development"
"d008",10007,"Zielinski","Tzvetan","Research"
"d005",10008,"Kalloufi","Saniya","Development"
"d006",10009,"Peac","Sumant","Quality Management"
"d004",10010,"Piveteau","Duangkaew","Production"
